Nuts Prov;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;SUMA
ES423;Cuenca;;;;;;;;;;;;0;0;1;0;
ES424;Guadalajara;;;;;;;;;;;;0;1;1;1;
ES425;Toledo;;;;;;;;;;;;2;1;0;0;
ES411;Ávila;;;;;;;;;;;;0;0;0;0;
ES412;Burgos;;;;;;;;;;;;4;1;1;0;
ES413;León;;;;;;;;;;;;1;2;0;0;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;0;0;1;0;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;1;4;0;0;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;12;8;3;10;
ES512;Girona;;;;;;;;;;;;1;1;3;2;
ES513;Lleida;;;;;;;;;;;;0;1;0;1;
ES514;Tarragona;;;;;;;;;;;;1;0;1;2;
ES521;Alicante;;;;;;;;;;;;5;6;7;5;
ES522;Castellón;;;;;;;;;;;;1;1;1;1;
ES523;Valencia;;;;;;;;;;;;18;16;10;4;
ES431;Badajoz;;;;;;;;;;;;1;2;0;0;
ES432;Cáceres;;;;;;;;;;;;1;0;0;0;
ES111;A Coruña;;;;;;;;;;;;1;2;1;3;
ES112;Lugo;;;;;;;;;;;;0;1;0;0;
ES113;Ourense;;;;;;;;;;;;0;1;1;0;
ES114;Pontevedra;;;;;;;;;;;;2;0;4;1;
ES532;Illes Balears;;;;;;;;;;;;4;2;1;0;
ES230;La Rioja;;;;;;;;;;;;0;0;0;0;
ES300;Madrid;;;;;;;;;;;;14;15;15;13;
ES620;Murcia;;;;;;;;;;;;4;2;4;2;
ES220;Navarra;;;;;;;;;;;;4;1;6;3;
ES211;Araba/Álava;;;;;;;;;;;;1;0;1;1;
ES212;Bizkaia;;;;;;;;;;;;2;0;4;1;
